日期,数值
20100603,53847
20100604,53005
20100607,50155
20100608,49468
20100609,50413
20100610,50674
20100611,51437
20100617,51732
20100618,51035
20100621,53723
20100622,52874
20100623,53163
20100624,53537
20100625,53175
20100628,53989
20100629,52882
20100630,51958
20100701,51200
20100702,52279
20100705,52343
20100706,52321
20100707,52224
20100708,53079
20100709,53673
20100712,53117
20100713,52371
20100714,52990
20100715,52974
20100716,53161
20100719,52374
20100720,53102
20100721,53388
20100722,53962
20100723,55401
20100726,55609
20100727,55148
20100728,56214
20100729,56223
20100730,56272
20100802,57629
20100803,57461
20100804,57625
20100805,57404
20100806,57819
20100809,58265
20100810,57239
20100811,56751
20100812,56300
20100813,57352
20100816,57323
20100817,57746
20100818,58070
20100819,58306
20100820,57060
20100823,57198
20100824,56915
20100825,56758
20100826,57351
20100827,57838
20100830,59363
20100831,58411
20100901,59548
20100902,59900
20100903,59889
20100906,60494
20100907,59682
20100908,59787
20100909,58586
20100910,58806
20100913,59525
20100914,59042
20100915,59077
20100916,59065
20100917,60075
20100920,60242
20100921,59817
20100927,60605
20100928,60368
20100929,60803
20100930,60579
20101008,60619
20101011,62952
20101012,62184
20101013,62867
20101014,63820
20101015,63766
20101018,62942
20101019,63385
20101020,62612
20101021,62637
20101022,62851
20101025,64688
20101026,64652
20101027,64105
20101028,63851
20101029,62456
20101101,63645
20101102,63441
20101103,63948
20101104,64550
20101105,67194
20101108,66471
20101109,67874
20101110,67417
20101111,69084
20101112,65587
20101115,64924
20101116,64363
20101117,61555
20101118,62787
20101119,64090
20101122,63353
20101123,61468
20101124,62478
20101125,62089
20101126,61700
20101129,62374
20101130,62609
20101201,63580
20101202,65279
20101203,65642
20101206,65441
20101207,66707
20101208,65437
20101209,67279
20101210,67674
20101213,68658
20101214,68677
20101215,67793
20101216,67146
20101217,68357
20101220,68583
20101221,69203
20101222,68702
20101223,68657
20101224,68971
20101227,68763
20101228,69082
20101229,69581
20101230,71074
20101231,72085
20110104,72110
20110105,71028
20110106,71834
20110107,69682
20110110,69930
20110111,70771
20110112,71216
20110113,71538
20110114,71380
20110117,71161
20110118,71869
20110119,72750
20110120,71548
20110121,70942
20110124,71738
20110125,70873
20110126,70810
20110127,71744
20110128,71742
20110131,73503
20110201,75160
20110209,75200
20110210,75592
20110211,75220
20110214,75949
20110215,75878
20110216,75455
20110217,74547
20110218,73763
20110221,74528
20110222,73522
20110223,71665
20110224,71427
20110225,72596
20110228,74235
20110301,73956
20110302,74644
20110303,74130
20110304,74724
20110307,74194
20110308,71094
20110309,71706
20110310,69296
20110311,69211
20110314,69323
20110315,68650
20110316,70530
20110317,69828
20110318,71750
20110321,71451
20110322,71260
20110323,71900
20110324,72344
20110325,72310
20110328,71078
20110329,70855
20110330,71289
20110331,70693
20110401,70475
20110406,71500
20110407,71694
20110408,73151
20110411,73370
20110412,72316
20110413,72202
20110414,71114
20110415,70854
20110418,71044
20110419,69656
20110420,71011
20110421,71485
20110422,71452
20110425,70856
20110426,70047
20110427,69675
20110428,70158
20110429,69382
20110503,69146
20110504,68042
20110505,67178
20110506,66028
20110509,67007
20110510,67094
20110511,66340
20110512,64246
20110513,66422
20110516,65917
20110517,66483
20110518,66819
20110519,67360
20110520,67453
20110523,66164
20110524,66623
20110525,67140
20110526,68209
20110527,68735
20110530,68239
20110531,68636
20110601,68430
20110602,67779
20110603,68506
20110607,68330
20110608,67597
20110609,67451
20110610,67643
20110613,67222
20110614,67706
20110615,68590
20110616,68096
20110617,68271
20110620,67508
20110621,68177
20110622,67669
20110623,67499
20110624,68144
20110627,67109
20110628,67379
20110629,68194
20110630,69900
20110701,69898
20110704,70777
20110705,70351
20110706,70783
20110707,71054
20110708,71843
20110711,71481
20110712,71119
20110713,72415
20110714,72104
20110715,71638
20110718,71854
20110719,72684
20110720,72518
20110721,72075
20110722,72044
20110725,71510
20110726,72705
20110727,72690
20110728,72651
20110729,72559
20110801,73348
20110802,71980
20110803,72028
20110804,71601
20110805,68624
20110808,67688
20110809,65989
20110810,67126
20110811,66721
20110812,66512
20110815,67312
20110816,66514
20110817,66833
20110818,66729
20110819,66382
20110822,65969
20110823,66670
20110824,66507
20110825,66796
20110826,67435
20110829,67614
20110830,68258
20110831,68369
20110901,68201
20110902,67839
20110905,67133
20110906,67004
20110907,67804
20110908,67731
20110909,67643
20110913,66309
20110914,65021
20110915,65066
20110916,65920
20110919,63460
20110920,63027
20110921,63032
20110922,60291
20110923,57018
20110926,53352
20110927,55109
20110928,55237
20110929,52647
20110930,54833
20111010,54537
20111011,54287
20111012,54954
20111013,54919
20111014,56026
20111017,55907
20111018,53879
20111019,54084
20111020,51080
20111021,51843
20111024,54880
20111025,56785
20111026,57280
20111027,58091
20111028,59315
20111031,58307
20111101,57762
20111102,58670
20111103,56813
20111104,59356
20111107,57956
20111108,57869
20111109,57996
20111110,54854
20111111,55626
20111114,58468
20111115,57490
20111116,56498
20111117,56851
20111118,55734
20111121,55256
20111122,55116
20111123,54449
20111124,54537
20111125,53728
20111128,55453
20111129,55546
20111130,54634
20111201,57949
20111202,58066
20111205,57965
20111206,57647
20111207,58325
20111208,57854
20111209,57041
20111212,56686
20111213,56055
20111214,55613
20111215,53249
20111216,54456
20111219,53713
20111220,53854
20111221,54715
20111222,54965
20111223,55922
20111226,55246
20111227,55123
20111228,55217
20111229,54272
20111230,55355
20120104,55801
20120105,56085
20120106,55924
20120109,55487
20120110,55881
20120111,56896
20120112,57462
20120113,58098
20120116,58203
20120117,59823
20120118,59348
20120119,60503
20120120,60648
20120130,60229
20120131,60556
20120201,59444
20120202,59867
20120203,59818
20120206,60509
20120207,60031
20120208,61475
20120209,61138
20120210,61381
20120213,60614
20120214,59978
20120215,60327
20120216,59183
20120217,59717
20120220,59315
20120221,59988
20120222,60418
20120223,60356
20120224,59592
20120227,60388
20120228,61035
20120229,61063
20120301,60274
20120302,61356
20120305,61024
20120306,60272
20120307,59388
20120308,59446
20120309,60404
20120312,60483
20120313,60911
20120314,60429
20120315,60342
20120316,60696
20120319,60242
20120320,60309
20120321,60343
20120322,59701
20120323,59986
20120326,60143
20120327,60664
20120328,60052
20120329,59673
20120330,59984
20120405,59883
20120406,60295
20120409,59775
20120410,59337
20120411,57858
20120412,58233
20120413,58014
20120416,56730
20120417,56532
20120418,57818
20120419,57655
20120420,57742
20120423,57326
20120424,57570
20120425,57599
20120426,58276
20120427,58466
20120502,58773
20120503,58128
