time,open,high,low,close,vol
 2011/11/04,864.58,868.52,855.6,859.62,3800837
 2011/11/07,855.01,870.87,851.55,860.03,3686331
 2011/11/08,863.91,875.59,861.62,867.06,4671870
 2011/11/09,872.51,879.37,860.27,873.02,3352465
 2011/11/10,862.37,866.75,854.73,855.41,3055304
 2011/11/11,863.72,867.53,852.07,856.57,2825609
 2011/11/14,866.57,889.12,866.01,889.11,4350275
 2011/11/15,888.02,901.34,886.26,893.84,3287741
 2011/11/16,893.89,893.94,858.4,863,3509008
 2011/11/17,865.88,874.92,859.43,863.49,2384917
 2011/11/18,854.13,854.68,831.84,836.15,2583984
 2011/11/21,835.27,838.05,815.16,826.27,2199260
 2011/11/22,817.69,824.63,808.77,820.47,1661575
 2011/11/23,822.64,824.18,804.07,805.2,1751221
 2011/11/24,797.8,810.19,791.62,805.64,1847780
 2011/11/25,803.24,810.13,795.62,799.37,1381576
 2011/11/28,802.92,811.17,799.37,805.1,1432857
 2011/11/29,814.58,821.22,807.96,820.61,2311964
 2011/11/30,817.21,817.71,785.49,790.64,2571155
 2011/12/01,814.57,827.69,809.51,810.17,3944791
 2011/12/02,805.36,805.95,790.96,794.47,1730986
 2011/12/05,794.75,797.04,782.69,783.88,1740004
 2011/12/06,781.67,789.99,779.2,786.79,1255471
 2011/12/07,787.3,792.32,782.58,789.22,1068508
 2011/12/08,788.28,795.39,776.64,787.2,1496484
 2011/12/09,781.25,784.73,776.76,780,1261878
 2011/12/12,779.67,779.67,768.89,770.03,1119388
 2011/12/13,766.86,768.34,752.64,753.01,1876771
 2011/12/14,753.25,758.13,741.54,742.21,1423422
 2011/12/15,735.52,735.52,709.16,709.35,2415214
 2011/12/16,710.73,725.16,705.9,724.43,2088097
 2011/12/19,717.46,722.43,698.84,720.16,1902972
 2011/12/20,716.67,729.66,715.12,719.35,1620983
 2011/12/21,729.47,732.35,710.56,711.06,1630228
 2011/12/22,702.61,725.98,700.4,720.19,2045640
 2011/12/23,717.42,735.74,717.02,729.35,2579505
 2011/12/26,724.57,733.54,719.46,720.52,1416216
 2011/12/27,721.89,728.66,715.09,716.15,1418978
 2011/12/28,714.03,721.77,704.07,720.22,1575530
 2011/12/29,717.18,726.64,715.09,725.71,1683227
 2011/12/30,727.21,738.56,727.21,737.64,1801270
 2012/01/04,744.51,745.51,714.55,714.62,2009358
 2012/01/05,710.62,720.06,702.74,703.59,1696649
 2012/01/06,703.61,711.04,697.37,708.81,1663395
 2012/01/09,709.09,763.87,703.99,763.31,4685025
 2012/01/10,765.8,801.45,763.42,795.76,7303055
 2012/01/11,795.36,806.49,785.24,791.37,6230564
 2012/01/12,785.94,799.45,783.21,788.25,4418600
 2012/01/13,791.87,795.06,771.19,779.32,4986982
 2012/01/16,772.42,794.23,765.11,765.41,4210113
 2012/01/17,766.86,818.14,760.02,816.79,6655954
 2012/01/18,814.32,819.89,796.32,799.57,5681102
 2012/01/19,801.49,817.15,796.53,809.11,4181223
 2012/01/20,813.13,820.85,805.5,813.95,3211269
 2012/01/30,815.36,815.36,792.91,793.85,2626676
 2012/01/31,796.02,802.36,788.51,797.96,2554679
 2012/02/01,795.29,805.16,782.2,784.46,2398956
 2012/02/02,788.64,807.72,785.03,806.08,4059902
 2012/02/03,801.1,811.2,797.15,808.95,3056413
 2012/02/06,814.16,823.58,804.87,811.06,3780091
 2012/02/07,804.29,805.56,789.01,796.76,3451577
 2012/02/08,796.88,835.82,794.43,826.89,6288952
 2012/02/09,824.31,830.59,820.39,824.02,5805008
 2012/02/10,820.44,829.49,817.1,821.78,3755647
 2012/02/13,814.03,828.4,809.63,818.41,3398229
 2012/02/14,819.25,820.79,810.08,817.85,3850667
 2012/02/15,816.67,831.83,812.81,826.15,4564135
 2012/02/16,823.26,825,811.48,817.33,3971788
 2012/02/17,822.85,825.01,811,814.72,2755475
 2012/02/20,825.65,830.73,817.6,817.88,3672314
 2012/02/21,819.84,825.72,811.8,825.72,3767104
 2012/02/22,826.14,835.37,821.42,834.91,4797842
 2012/02/23,833.89,845.78,831.59,843.72,6204176
 2012/02/24,845.94,866.68,844.19,859.61,6658935
 2012/02/27,864.51,871.78,856.41,856.56,5884975
 2012/02/28,854.38,858.77,846.04,851.18,4523185
 2012/02/29,849,854.59,841.82,842.53,3383724
 2012/03/01,838.85,846.42,838.65,841.67,2319036
 2012/03/02,846.08,862.1,846.08,855.95,3825269
 2012/03/05,857.1,864.15,850.99,852.07,3544815
 2012/03/06,849.59,850.77,829.16,829.22,3667699
 2012/03/07,820.63,829.15,816.55,817.21,3008452
 2012/03/08,822.07,831.22,821.67,827.13,2564858
 2012/03/09,831.32,849.32,831.32,845.97,4581100
 2012/03/12,847.49,847.51,832.29,838.02,3351682
 2012/03/13,837.59,851.53,832.04,848.69,4513505
 2012/03/14,852.68,854.36,812.05,817.09,6219138
 2012/03/15,817.17,821.99,802.9,809.79,3789054
 2012/03/16,811.52,818.7,801.42,816.15,2860514
 2012/03/19,812.8,821.84,808.57,821.27,3129528
 2012/03/20,824.81,833.36,810.95,811.18,4565179
 2012/03/21,815.31,833.2,809.82,824.47,5114125
 2012/03/22,825.41,826.57,814.57,817.77,3167418
 2012/03/23,815.97,818.17,800.88,803.65,3593055
 2012/03/26,804.56,809.04,802.45,807.24,1867944
 2012/03/27,812.08,813.52,806.11,807.11,1793463
